,Datetime,Tweet Id,Text,Username
67,2022-06-13 08:07:41+00:00,1536258993794215938,"This goes to show how #AmberHeardTurds was trying to #Blackmail #JohnnyDepp
To steal his #Money #properties and she treated JD as if he is stupid. #JusticeForJohnnyDepp #AmberHeardlsAnAbuser
#AmberHeardIsALiar

https://t.co/kzv7CpiAib",88_jrl
68,2022-06-13 08:05:45+00:00,1536258508252819456,"This is #AmberHeard not after #JohnnyDepp money.
Would love your thoughts on this @TheEmilyDBaker https://t.co/ayfzd59fHs",Godschi29264356
69,2022-06-13 08:03:27+00:00,1536257928893718528,"@Eve_Barlow got ur comments off the whole time and claiming recvd 1000s of hate Bitch Puhleeez!!! (Show DA receipts) wana pull a Amber Turd on us.
#AmberHeardIsAPsycopath #AmberHeardlsAnAbuser #AmberHeardIsALiar #AmberTurd #AmberHeard #TruthWins #JohnnyDepp https://t.co/A0B7rsKLKP",ManBawse
70,2022-06-13 08:03:06+00:00,1536257843698884609,"🍀 UPON US ALL A LITTLE RAIN MUST FALL - LED ZEPPELIN, The Rain Song
#JohnnyDepp 
🏴‍☠️💐💝 https://t.co/Psm4gIiugG",iannmariedj
71,2022-06-13 08:03:01+00:00,1536257821834358784,Congrats @Dior Longtime Fan of Dior Homme &amp; Johnny Depp! 🍾🥂 #JohnnyDeppGotJustice #DiorSauvage #Dior #AmberHeardIsALiar #AmberHeardlsAnAbuser #JohnnyDepp ❤️🙏🏻 #AmberHeardCommittedPerjury #AmberTurdIsAnAbuser  #AmberHeardlsApsychopath #AmberShouldGoToJail https://t.co/gsTf2Zurf5,AussieTsim
72,2022-06-13 08:02:18+00:00,1536257639771951104,"@Matagot27 @easthereast Yet #AmberHeard gave him a big ass knife as a BDAY gift? Sounds to me like it was intended to make #JohnnyDepp  like an abuser..NO ONE GIVES THE PERSON WHO WANTS TO ""KILL"" THEM A KNIFE...GROW UP..its not W.S.W no more it's TRASH now because of people like you",Myzzone1
73,2022-06-13 08:01:26+00:00,1536257422670671873,"What a pile of sh*te, this Gregg Brooks is just a male version of Amber Heard talking out of his a**hole!! 🤬😡 Don’t worry, Camille will come to Johnny Depp’s rescue and throw this ridiculous claim out of court!! 👍😎👍 #JohnnyDepp #greggbrooks #CamilleVazquez https://t.co/mprKFK6sdm",lynger2000
74,2022-06-13 08:01:14+00:00,1536257372477194240,"@CeeAllTheBees You are attacking #CamilleVasquez . Shame on you.  She is a HERO.  Her famous quote is DOMESTIC VIOLENCE has NO GENDER.

If your son is being sued wrongfully for DV, hire Camille Vasquez. 
#JohnnyDepp https://t.co/q0YklfYU4v",1brightvenus
75,2022-06-13 08:00:58+00:00,1536257305791979521,#feminist #feminism #letsbesmart #knowledge #learn #iamwoman #JohnnyDepp if you hate me for the truth I speak so be it! https://t.co/Lg3aTJqwFu,emroman85
76,2022-06-13 08:00:07+00:00,1536257090292961280,@thatNortherner1 She cant file DV and SV complaint to #JohnnyDepp because of lack of evidences. She agreed for the settlement because apparently she had questionable motives and net 7m is not bad for a 14 months marriage. As we all know she had previous request prior to divorce,OpinionMadame
77,2022-06-13 07:58:03+00:00,1536256571226968064,I’m so happy that male victims of domestic abuse and IPV now have someone to look up to. #JusticeServedForJohnnyDepp #JohnnyDepp,TLOZ_Triforce17
78,2022-06-13 07:57:45+00:00,1536256497361240064,This must be the music #JohnnyDepp listens to when he drinks red wine #AMegaPint ? #HeThinksItsNecessary https://t.co/7saEcbXy6Z,GavinLatz
79,2022-06-13 07:55:59+00:00,1536256050776920064,Johnny Depp HAS WON COURT OF PUBLIC OPINION  #JohnnyDepp #AmberHeardlsAnAbuser #AmberHeardIsALiar #loveyouJD,rk20842826
80,2022-06-13 07:55:03+00:00,1536255814901633025,"#DishaPatani, #ShrutiHaasan react to #JohnnyDepp's win in defamation case against #AmberHeard https://t.co/qqR4KMtCRt",MatthewJudith7
81,2022-06-13 07:52:26+00:00,1536255159373799424,Good night gorgeous ♥️😘💋##johnnydepp https://t.co/Hl2syNx5Kq,chatolit
82,2022-06-13 07:50:39+00:00,1536254708666474496,"@jessay @Marscotty111 @DrProudman Hmmmmm i think that was explained by #johnnydepp and his counsel. There was no #rape that happened to amber. The bottle incident she claimed was a hoax she cant even prove it on her claimed instances- bahamas, coachella and australia - nada with the alleged bottle",OpinionMadame
83,2022-06-13 07:50:02+00:00,1536254553472937984,"🍀 To be Yourself in a world that is constantly trying to make you something else is the greatest accomplishment.
#JohnnyDepp 
🏴‍☠️💐💝 https://t.co/CeyNM2IDYY",iannmariedj
84,2022-06-13 07:49:29+00:00,1536254415786717185,"A mentally ill young woman finds her love in an eccentric man who models himself after the great silent movie comedian, Buster Keaton
#rewatching #NowWatching
#BennyAndJoon(1993)
#Romance #Comedy

This is one of my ultimate #favorite #Depp #films 🥰😍

#JohnnyDepp #moviemarathon https://t.co/ohPVFa9qY8",witch_natural
85,2022-06-13 07:48:09+00:00,1536254079831183360,"This Is How I See #JohnnyDepp ~ He Is So Dear To Me 💗 🕊️ 💗 Goodbye, Love!
#JohnnyDeppGotJustice I've Been With You For 5yrs. &amp; It Has Been My Pleasure!!!
God Bless &amp; Keep You Safe!!!
#JCDII 🕊️🤍 #JohnnyDeppIsInnocent https://t.co/jYrl7VbURP",TrishaS62071592
86,2022-06-13 07:47:19+00:00,1536253871978323968,"#JohnnyDepp should lay down his Uno reverse card and get a restraining order against AH. She clearly can’t move on and will never let him go. She’s still attempting to defame him, imo. PS. I won’t allow AH to speak on my behalf.
#JDvAH
#BringBackJack 
#boycottaquaman2",GaughanEmily
87,2022-06-13 07:46:56+00:00,1536253771512451072,"I wonder why all the ""Amber Heard supporters"" didn't say anything during the trial. 🤔

#boycottaquaman2 
#AmberHeardIsAPsycopath
#JusticeForJohnnyDepp 
#AmberHeardlsAnAbuser
#JohnnyDepp 
#AmberTurd",AvangerCl
88,2022-06-13 07:45:47+00:00,1536253482428092416,"🍀 Set Yourself Free.
#JohnnyDepp
🏴‍☠️💐💝 https://t.co/drZ4C5mE74",iannmariedj
